case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
1658,Queued-Awaiting Assignment,Robert,2011/10/19 21:47:58.000,High,us,Org line C,E_4,PROD348,USA
1658,Accepted-In Progress,Ramith,2011/10/20 11:38:25.000,High,us,Org line C,E_4,PROD348,INDIA
1658,Completed-Closed,Ramith,2011/11/06 19:42:28.000,High,us,Org line C,E_4,PROD348,INDIA
1658,Accepted-In Progress,Ramith,2011/11/11 15:47:02.000,High,us,Org line C,E_4,PROD348,INDIA
1658,Completed-Closed,Ramith,2012/01/04 07:12:48.000,High,us,Org line C,E_4,PROD348,INDIA
2253,Accepted-Wait,Sumesh,2012/06/11 16:54:37.000,Medium,fr,Org line A2,A2_2,PROD698,0
240,Accepted-In Progress,Linda,2011/02/10 08:09:38.000,Low,se,Org line A2,A2_3,PROD829,Sweden
240,Accepted-In Progress,Linda,2012/02/08 14:39:15.000,Low,se,Org line A2,A2_3,PROD829,Sweden
240,Completed-Closed,Linda,2012/02/08 14:41:05.000,Low,se,Org line A2,A2_3,PROD829,Sweden
822,Accepted-In Progress,Robert,2011/12/29 08:18:50.000,High,in,Org line A2,A2_4,PROD153,Sweden
822,Completed-Closed,Robert,2012/01/05 15:21:33.000,High,in,Org line A2,A2_4,PROD153,Sweden
1563,Accepted-In Progress,Ian,2010/12/28 14:28:04.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-Wait,Ian,2010/12/28 14:28:11.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-Wait,Ian,2011/01/03 08:41:42.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-In Progress,Ian,2011/01/28 16:48:20.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-Wait,Ian,2011/03/31 10:34:29.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-In Progress,Ian,2011/04/06 13:16:21.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
1563,Accepted-Assigned,Ian,2011/06/29 16:04:50.000,Medium,gb,Org line A2,A2_1,PROD235,United Kingdom
