case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5
case-5595,Confirmation of receipt - complete,Value17,2011/03/08 09:54:58.423,Value1,Value1,Value4,Value16,Value3
case-5595,T06 Determine necessity of stop advice - complete,Value17,2011/03/08 09:56:18.083,Value1,Value1,Value4,Value16,Value1
case-5595,T08 Draft and send request for advice - complete,Value17,2011/03/08 09:57:10.588,Value1,Value1,Value4,Value16,Value1
case-5595,T07-1 Draft intern advice aspect 1 - complete,Value17,2011/03/08 10:03:22.949,Value1,Value1,Value4,Value16,Value6
case-5595,T07-2 Draft intern advice aspect 2 - complete,Value17,2011/03/08 10:03:43.830,Value1,Value1,Value4,Value16,Value9
case-5595,T09-1 Process or receive external advice from party 1 - complete,Value17,2011/03/08 10:04:03.072,Value1,Value1,Value4,Value16,Value1
case-5595,T06 Determine necessity of stop advice - complete,Value17,2011/03/08 10:04:17.627,Value1,Value1,Value4,Value16,Value1
case-5595,T10 Determine necessity to stop indication - complete,Value17,2011/03/08 10:04:36.616,Value1,Value1,Value4,Value16,Value1
case-5595,T02 Check confirmation of receipt - complete,Value23,2011/03/24 10:32:54.458,Value1,Value1,Value4,Value16,Value3
case-5595,T03 Adjust confirmation of receipt - complete,Value17,2011/04/18 14:29:18.014,Value1,Value1,Value4,Value16,Value1
case-5595,T02 Check confirmation of receipt - complete,Value17,2011/04/18 14:29:36.540,Value1,Value1,Value4,Value16,Value2
case-5595,T04 Determine confirmation of receipt - complete,Value17,2011/04/18 14:29:49.734,Value1,Value1,Value4,Value16,Value4
case-5595,T05 Print and send confirmation of receipt - complete,Value17,2011/04/18 14:30:01.996,Value1,Value1,Value4,Value16,Value5
case-4641,Confirmation of receipt - complete,Value29,2010/12/10 15:58:10.790,Value1,Value1,Value4,Value24,Value3
case-4641,T06 Determine necessity of stop advice - complete,Value29,2010/12/10 15:59:33.005,Value1,Value1,Value4,Value24,Value1
case-4641,T02 Check confirmation of receipt - complete,Value31,2010/12/10 16:02:14.805,Value1,Value1,Value4,Value24,Value3
case-4641,T10 Determine necessity to stop indication - complete,Value29,2010/12/10 16:03:45.699,Value1,Value1,Value4,Value24,Value1
case-4641,T04 Determine confirmation of receipt - complete,Value29,2010/12/10 16:06:24.227,Value1,Value1,Value4,Value24,Value4
case-4641,T05 Print and send confirmation of receipt - complete,Value29,2010/12/10 16:06:34.697,Value1,Value1,Value4,Value24,Value5
case-4328,Confirmation of receipt - complete,Value37,2011/03/01 15:45:50.426,Value1,Value1,Value4,Value30,Value3
case-4328,T02 Check confirmation of receipt - complete,Value37,2011/03/01 15:50:01.543,Value1,Value1,Value4,Value30,Value2
case-4328,T06 Determine necessity of stop advice - complete,Value37,2011/03/01 15:50:53.503,Value1,Value1,Value4,Value30,Value1
case-4328,T04 Determine confirmation of receipt - complete,Value37,2011/03/01 15:52:02.024,Value1,Value1,Value4,Value30,Value4
case-4328,T05 Print and send confirmation of receipt - complete,Value37,2011/03/01 15:53:25.806,Value1,Value1,Value4,Value30,Value5
case-4328,T10 Determine necessity to stop indication - complete,Value37,2011/03/01 15:55:04.214,Value1,Value1,Value4,Value30,Value1
case-9804,Confirmation of receipt - complete,Value30,2011/10/04 08:24:58.199,Value1,Value1,Value3,Value3,Value3
case-9804,T06 Determine necessity of stop advice - complete,Value30,2011/10/05 07:48:09.663,Value1,Value1,Value3,Value3,Value1
case-9804,T02 Check confirmation of receipt - complete,Value30,2011/10/05 07:49:01.184,Value1,Value1,Value3,Value3,Value3
case-9804,T04 Determine confirmation of receipt - complete,Value30,2011/10/05 07:51:06.795,Value1,Value1,Value3,Value3,Value3
case-9804,T05 Print and send confirmation of receipt - complete,Value30,2011/10/05 07:52:16.526,Value1,Value1,Value3,Value3,Value3
case-9804,T10 Determine necessity to stop indication - complete,Value30,2011/10/05 07:52:52.344,Value1,Value1,Value3,Value3,Value1
case-7477,Confirmation of receipt - complete,Value15,2011/05/12 15:09:41.022,Value2,Value1,Value4,Value3,Value1
case-7477,T02 Check confirmation of receipt - complete,Value15,2011/05/12 15:10:02.025,Value2,Value1,Value4,Value3,Value2
case-7477,T04 Determine confirmation of receipt - complete,Value15,2011/05/12 15:10:24.466,Value2,Value1,Value4,Value3,Value4
case-7477,T05 Print and send confirmation of receipt - complete,Value15,2011/05/12 15:10:42.004,Value2,Value1,Value4,Value3,Value5
case-7477,T06 Determine necessity of stop advice - complete,Value29,2011/05/13 14:44:39.096,Value2,Value1,Value4,Value3,Value1
case-7477,T10 Determine necessity to stop indication - complete,Value29,2011/05/13 14:45:00.938,Value2,Value1,Value4,Value3,Value1
case-6944,Confirmation of receipt - complete,Value15,2011/04/28 13:30:26.922,Value1,Value1,Value4,Value11,Value3
case-6944,T02 Check confirmation of receipt - complete,Value15,2011/04/28 13:31:19.663,Value1,Value1,Value4,Value11,Value2
case-6944,T04 Determine confirmation of receipt - complete,Value15,2011/04/28 13:31:55.907,Value1,Value1,Value4,Value11,Value4
case-6944,T05 Print and send confirmation of receipt - complete,Value15,2011/04/28 13:33:43.345,Value1,Value1,Value4,Value11,Value5
case-6944,T06 Determine necessity of stop advice - complete,Value15,2011/04/28 13:34:04.228,Value1,Value1,Value4,Value11,Value1
